,company,wikidata_id,product_score,report_evidence_binary,report_evidence_content,average_sentiment_impactful,score_before_graph,graph_group_average,final_score
329,Emerson Electric Co,Q1335585,0,False,nothing,49.25,1,1.0,1.0
330,Emirates Telecommunications Group Co PJSC,Q543449,0,False,nothing,273.27000000000004,1,1.0,1.0
331,Enbridge Inc,Q1339966,0,True,Take urgent action to combat climate change and its impacts Reduce inequality within and among countries Build resilient infrastructure promote inclusive and sustainable industrialization and foster innovation Ensure access to a or d able reliable sustainable and modern energy for all Achieve gender equality and empower all women and girls Energy world demand stated policies scenario and sustainable development scenario Energy world demand Stated Policies Scenario STEPS and Sustainable Development Scenario SDS M toe 8 Our approach En bridges ES G goals In November 2020 En bridge announced expanded ES G goals and targets related to G HG emissions reduction and diversity and inclusion as well as increasing transparency and accountability of our ES G priorities and results,-83.17966666666666,0,0.0,0.0
332,Encompass Health Corp,Q5690400,0,False,nothing,4.65,1,1.0,1.0
333,Endo International PLC,Q5376211,0,False,nothing,-30.239999999999995,-1,-1.0,-1.0
334,Enel SpA,Q651222,0,True,The gender and gender pay gaps our action plan 405 1405 2 En el continues its commitment to overcoming the gender gap and achieving pay equality with an organic approach of actions that in u en ce all phases of womens journey in the organization from representation at entry level to empowerment and development in positions of resp on sibi lit y paying a en tion to various relevant moments in personal and professional life,-2.171666666666665,0,0.0,0.0
335,Enel SpA,Q651222,0,True,Our on concerns the situation within our organisation that emphasises inclusion and the value terms of gender age and disabilities,-2.171666666666665,0,0.0,0.0
336,Energizer Holdings Inc,Q1200840,0,False,nothing,-11.386666666666668,-1,-1.0,-1.0
337,Engie SA,Q13416787,0,False,nothing,11.898,1,1.0,1.0
338,ENN Energy Holdings Ltd,Q55610325,0,False,nothing,-0.1399999999999999,-1,-1.0,-1.0
339,Enphase Energy Inc,Q17012234,0,False,nothing,26.99,1,1.0,1.0
340,Entra ASA,Q5380649,0,False,nothing,-13.1,-1,-1.0,-1.0
341,EPAM Systems Inc,Q1275613,0,False,nothing,40.510000000000005,1,1.0,1.0
342,EQT Corp,Q5323987,0,False,nothing,15.188333333333334,1,1.0,1.0
343,Equinix Inc,Q851641,0,False,nothing,298.6975,1,1.0,1.0
344,Equinor ASA,Q1776022,0,True,To show our commitment to equal and inclusive workplaces E quin or participated in several Gender Equality Indexes that aim to give more visibility into reporting e,-63.685,0,0.0,0.0
345,Equinor ASA,Q1776022,0,True,in the Bloomberg Gender Equality Index and the Norwegian SHE Index where E quin or was ranked number 1 out of 92 participating companies in received the SHE Index award for our progress towards gender all our leadership activities including talent and succession reviews leadership assessments leadership development courses and top tier leadership deployment we aim for gender balance and diversity,-63.685,0,0.0,0.0
346,Equinor ASA,Q1776022,0,True,We interacted with F OKU S addressing womens rights and promoted the She Dil tool to aid human rights due diligence related to women,-63.685,0,0.0,0.0
347,Equity Residential,Q187740,0,False,nothing,-5.64,-1,0.5,-0.5
348,Erste Group Bank AG,Q1310001,0,False,nothing,-0.068,-1,-1.0,-1.0
349,Essity AB,Q30938280,0,False,nothing,-26.160000000000004,-1,-1.0,-1.0
350,Etsy Inc,Q1353939,0,False,nothing,110.43166666666669,1,1.0,1.0
351,Eutelsat Communications SA,Q848336,0,True,booster scheme to accelerate graduate careers Above average Gender Equality Index score of Multiple actions to maintain strong attractiveness and strengthen cohesion Emphasis on quality of life at work new headquarters for greater comfort collective agreements on tele working Time Savings Account work personal life balance etc,35.193333333333335,2,2.0,2.0
352,Eutelsat Communications SA,Q848336,0,True,Eu tel s at obtained a score of in the Gender Equality Index six points above the average for its sector and placing it amongst the leading companies for equality and your Company significantly reinforced its integrity and compliance programmes through dedicated governance initiatives and the implementation of anti corruption training for all its part of initiatives to engage more widely with all our stakeholders the weight of CSR related objectives in management compensation has been increased while Eu tel s at conducted its first CSR material it y review in Spring of 2021 which outcome is published in the present document,35.193333333333335,2,2.0,2.0
353,Eutelsat Communications SA,Q848336,0,True,Regional and Group HR managers Legal Department International and Institutional Affairs Department Corporate Communications Investor Relations Technical Department Teleport managers Purchasing General Services 5 CONFIDENTIAL ADHERENCE TO THE UN GLOBAL COMPACT Contributing to Sustainable Development Goals as defined by the UN Equal opportunities with access to education for vulnerable people Technological partnerships in favour of civilian protection Sustainable resilient and accessible infrastructure Gender equality with a strong diversity policy and access for women to management positions A working environment that promotes the development of its employees Reducing inequalities in different countries thanks to our efforts to bridge the digital divide Measures to limit our impact on climate change Accountable management practices supported by a stringent anti corruption policy 6 AGENDA 1,35.193333333333335,2,2.0,2.0
354,Everest Re Group Ltd,Q1381973,0,False,nothing,30.950000000000003,1,1.0,1.0
355,Evraz PLC,Q1382653,0,False,nothing,-0.6399999999999992,-1,-1.0,-1.0
356,Exxon Mobil Corp,Q156238,0,False,nothing,-137.8398245614035,-1,0.21052631578947367,-0.5
357,F5 Networks Inc,Q3029296,0,True,We want to ensure we offer great opportunities to all types of talented creative employees through F 5 Connects Women we are helping develop robust networks of professional women and working toward a company culture supportive of gender diversity,1.58,2,2.0,2.0
358,Facebook Inc,Q355,0,False,nothing,-922.28115,-1,-1.0,-1.0
359,Falabella SA,Q5135229,0,False,nothing,0.0,-1,-1.0,-1.0
360,Faurecia SE,Q142205,0,False,nothing,11.015,1,1.0,1.0
361,Federal Signal Corp,Q1400073,0,False,nothing,0.7599999999999999,1,1.0,1.0
362,Ferguson PLC,Q624682,0,False,nothing,0.0,-1,-1.0,-1.0
363,First Abu Dhabi Bank PJSC,Q29124183,0,True,As an organisation we always champion diversity the appointment of our first female group CEO is testament to that,0.4649999999999998,2,2.0,2.0
364,First Quantum Minerals Ltd,Q1419532,0,False,nothing,0.4349999999999999,1,1.0,1.0
365,First Republic Bank/CA,Q5453752,0,False,nothing,3.255000000000001,1,1.0,1.0
366,Fiserv Inc,Q1420513,0,False,nothing,200.5425,1,1.0,1.0
367,FleetCor Technologies Inc,Q16838618,0,False,nothing,-0.69,-1,-1.0,-1.0
368,Flowserve Corp,Q1430331,0,False,nothing,34.31999999999999,1,1.0,1.0
369,Ford Motor Co,Q44294,0,False,nothing,-66.73283018867924,-1,-1.0,-1.0
370,Fortescue Metals Group Ltd,Q1438957,0,True,Held at the Fortes cue Centre in Perth the event was open to women looking to find out more about job opportunities within the mining industry regardless of This year Fortes cue signed the global Parity Pledge in recognition of our commitment to fostering an inclusive and diverse Parity Pledge is an initiative a not for profit organisation focused on bringing gender equality to the highest levels of business requiring companies to commit to interviewing at least one qualified female candidate for every executive position,3.978333333333334,2,2.0,2.0
371,Fortescue Metals Group Ltd,Q1438957,0,True,The assessments are an important tool to track our performance against stake holder expectations and peer performance to ensure continual commitment to external benchmarking initiatives and voluntary standards includes Bloomberg Gender Equality Index SP Global Corporate Sustainability Assessment CDP Climate Change Assessment International Council on Mining and Metals I CMM Sustainable Development Principles Alignment with ISO Standards 3100 Risk Management Occupational Health and Safety Sustainable Development Goals United Nations Task Force on Climate related Financial Disclosures T CFD Tax Transparency Code of Australia 2016 UN Guiding Principles on Business and Human Rights Workplace Gender Equality Agency W GEA,3.978333333333334,2,2.0,2.0
372,Fortescue Metals Group Ltd,Q1438957,0,True,Our commitment to external benchmarking initiatives and voluntary standards includes Bloomberg Gender Equality Index,3.978333333333334,2,2.0,2.0
373,Fortinet Inc,Q2749364,0,False,nothing,187.13,1,1.0,1.0
374,Fortive Corp,Q27919383,0,False,nothing,41.55,1,1.0,1.0
375,Freeport-McMoRan Inc,Q1453620,0,True,We are committed to providing equal pay for equal work regardless of gender race or ABRA IMPLEMENTS CHILEAN GENDER EQUALITY CERTIFICATION Our El Abra operation implemented Chiles voluntary gender equality and work life balance ordinance to enhance gender equality in the workplace through various measures,-3.4599999999999973,0,0.0,0.0
376,Freeport-McMoRan Inc,Q1453620,0,True,For example our El Abra team implemented Chiles voluntary gender equality and work life balance ordinance in 2020 and shared findings from that effort with our PT FI team in Indonesia,-3.4599999999999973,0,0.0,0.0
377,Freeport-McMoRan Inc,Q1453620,0,True,Womens empowerment is a theme across our community engagement work,-3.4599999999999973,0,0.0,0.0
378,Freeport-McMoRan Inc,Q1453620,0,True,In addition to contributing to the UN S DGs our empowerment initiatives promote womens rights through policy advocacy leadership in the public and private sectors small business training programs and educational largest of our economic development programs Dream Builder a free online entrepreneurship training program for women has helped train more than 93 000 women across 90 countries primarily in the U,-3.4599999999999973,0,0.0,0.0
379,Fresenius Medical Care AG & Co KGaA,Q650259,0,True,Meet the Management Annual General Meeting Creditor Relations Corporate Governance Back Corporate Governance Corporate Governance overview Legal structure Supervisory Board Remuneration of the Supervisory Board Management compensation Declaration on Corporate Governance Declaration of Compliance Statement on gender equality Managers transactions Investor Relations contacts Media Back Media Media overview Newsroom Insights Back Insights Patient Stories Company Features Back Company Features We All Can Make a Difference Multimedia Back Multimedia Images Videos Publications Events Corporate Communications contacts Blue art project About us Back About us About us overview Company profile Corporate culture Strategy Sustainability Back Sustainability Sustainability overview Our commitment Patients Medical responsibility Employees Environment Supply chain Society Policies and standards Ratings and indices Compliance Back Compliance Compliance Overview Our Code of Ethics and Business Conduct Our Compliance Action Line Information for our Business Partners Policies and standards Management Board Supervisory Board History Glossary 25 years Back 25 years 25 th anniversary Our history 25 years of passion Shaping the future together Our commitment Contact language,-60.55333333333334,0,0.0,0.0
380,Fresenius SE & Co KGaA,Q705361,0,True,At F res eni us Va med a gender representative oversees gender and regulations Our aspirations with regard to diversity are laid down in the F res eni us Code of Conduct,-3.778928571428572,0,0.0,0.0
381,FUCHS PETROLUB SE,Q878404,0,False,nothing,0.0,-1,-1.0,-1.0
382,FuelCell Energy Inc,Q16993862,0,False,nothing,-37.66714285714285,-1,-1.0,-1.0
383,Fuji Electric Co Ltd,Q498662,0,False,nothing,0.0,-1,-1.0,-1.0
384,Galapagos NV,Q5517961,0,False,nothing,9.4,1,1.0,1.0
385,Gartner Inc,Q174198,0,False,nothing,-18.28277777777777,-1,-1.0,-1.0
386,Gazprom PJSC,Q102673,0,False,nothing,-53.91244897959184,-1,-0.25,-1.0
387,Geberit AG,Q464905,0,False,nothing,-2.4,-1,-1.0,-1.0
388,Geely Automobile Holdings Ltd,Q739000,0,False,nothing,9.8525,1,1.0,1.0
390,General Electric Co,Q54173,0,False,nothing,13.7284,1,1.0,1.0
391,General Mills Inc,Q629998,0,False,nothing,-17.877142857142857,-1,-1.0,-1.0
392,General Motors Co,Q81965,0,False,nothing,-92.78060344827584,-1,-1.0,-1.0
393,GFL Environmental Inc,Q25001278,0,False,nothing,30.76000000000001,1,1.0,1.0
394,Gilead Sciences Inc,Q663596,0,True,We aim to help end epidemics of AIDS and hepatitis and combat other communicable Education We educate and train healthcare providers on advanced therapies especially in resource limited Equality We cultivate an inclusive and diverse workforce that celebrates differences in race age gender sexual orientation gender identity and thinking Water and Sanitation We protect water dependent ecosystems by using natural bios wales and water conservation and Clean Energy We generate and purchase renewable energy to offset grid supplied energy at some of our worldwide Innovation and Infrastructure We leverage science and innovation to develop industry leading therapeutics for areas of un met medical Inequalities We formed a Diversity Council in 2018 to enhance our inclusion and diversity initiatives Consumption and Production We use green and sustainable chemistry where possible to produce therapies that benefit human health while minimizing environmental Action We are committed to reducing our greenhouse gas emissions by 25 by 2025 compared with 2016 for the Goals We forge internal and external partnerships to improve patient care strengthen health systems and reduce social and environmental impacts,-11.901999999999996,0,0.0,0.0
395,Givaudan SA,Q509544,0,True,The full participation of women at Givaudan including equal pay makes sound business sense and embracing womens empowerment as a key goal will benefit us all,39.43333333333334,2,2.0,2.0
396,GlaxoSmithKline PLC,Q212322,0,False,nothing,-244.9448,-1,-1.0,-1.0
397,Global Payments Inc,Q5570544,0,False,nothing,12.660000000000002,1,1.0,1.0
398,GN Store Nord AS,Q1544339,0,True,In our operations we avoid negative impact on health by complying with chemical hazardous substance GENDER EQUALITY AND EMPOWER ALL WOMEN AND GIRLS By driving a culture of diversity and inclusion in our recruitment employee development and internal networks we strive to empower underrepresented groups in leadership SUSTAINABLE ECONOMIC GROWTH AND DECENT WORK FOR ALL Driven by our commitment to UN Global Compact we set high internal standards and strictly audit suppliers to ensure human and labor rights are protected at all SUSTAINABLE INDUSTRIALIZATION AND FOSTER INNOVATION The dynamic industries in which we operate drive us to operate on the leading edge of innovation to develop products and services that meet society s future SUSTAINABLE CONSUMPTION AND PRODUCTION PATTERNS We do business the right way,18.24,2,2.0,2.0
399,GN Store Nord AS,Q1544339,0,True,To become a truly equitable employer we have started to embed inclusion and diver s it y in our people a company we do not tolerate discrimination or harassment of any kind based on racial or ethnic characteristics gender religion age sex u al orientation disabilities or any other classification as stated in GN s Ethics Ethics Guide is available in 10 languages here Inclusion diversity Inclusion and diversity are a strategic priority at GN,18.24,2,2.0,2.0
400,GN Store Nord AS,Q1544339,0,True,We LISTEN to ensure that our employees feel heard and valued We CHALLENGE each other and welcome perspectives different from our own to make smarter decisions We want to continuously TRANSFORM our company to meet the needs of our customers and ensure that all employees experience a sense of purpose and belonging Gender and diversity representation in primary diversity focus is to advance stronger international re pre sent ation and gender diversity in our senior management the Global Management Teams GMT in both GN Audio and GN the end of 2021 GN Hearings GMT comprised 18 female leaders and 36 non Danes,18.24,2,2.0,2.0
401,Golden Agri-Resources Ltd,Q17039222,0,False,nothing,-17.92,-1,0.3333333333333333,-0.5
402,Goldman Sachs Group Inc,Q193326,0,True,The program is named for and guided by the goal of impacting the lives of at least one million Black women by A nadu and George A zi h founder and CEO of Lease Query at a Launch With GS event in Atlanta GA FORWARD FOCUS Goldman Sachs 2020 People Strategy Report Broadening Our Impact 35 Bloomberg Gender Equality Index January 2021 Listed Human Rights Campaign Foundations Index January 2021 Rating of 100 Vault Banking 50 January 2021 Ranked 1 in Prestige Ranked 19 in the Banking 50 Univers um Worlds Most Attractive Employers October 2020 Ranked 6 out of 50 among Business students Ranked 24 out of 50 among Engineering IT students PEOPLE Magazine Awards September 2020 Ranked 38 out of 50 in U,-26.07679487179487,0,0.0,0.0
403,Goldman Sachs Group Inc,Q193326,0,True,Additionally we use compensation as an important tool to attract retain and motivate on Equal Pay and Living Wage We are a meritocracy and gender ethnicity age disability sexual orientation or any other protected characteristic is not a factor in the way that we pay our people,-26.07679487179487,0,0.0,0.0
404,Goodman Group,Q3110722,0,True,We are working on gender equality in senior executive roles and prior it ising human rights and business ethics in our supply issues Workplace safety Group and regional leadership ES G performance targets Diversity and inclusive ness Promotion of the Goodman values Social equity Customer well being,-1.4880000000000002,0,0.0,0.0
405,Goodman Group,Q3110722,0,True,Our targets re ect our company principles as well as input from our progress Goodman Group Addressing the UN Sustainable Development Goals The UN Sustainable Development Goals S DGs act as a universal call to action to address the worlds most sign i cant challenges including climate change poverty gender equality and good health and well being for all,-1.4880000000000002,0,0.0,0.0
406,Goodman Group,Q3110722,0,True,We have committed to increasing representation of female in executive roles and to have equal numbers of women and men employed overall,-1.4880000000000002,0,0.0,0.0
407,Goodyear Tire & Rubber Co,Q620875,0,False,nothing,-64.32444444444444,-1,-1.0,-1.0
408,GrafTech International Ltd,Q5592433,0,False,nothing,94.095,1,1.0,1.0
409,Graphic Packaging Holding Co,Q5597139,0,False,nothing,9.0,1,1.0,1.0
410,Grasim Industries Ltd,Q906943,0,True,122 Operational S HGs Sustainable Livelihoods inputs are maintain 100 biogas plants at Na gda and Reh la and 6 059 SD G 1 No Poverty and SD G 2 Zero Hunger We familiaris e through better 5 Women empowerment and gender equality S HGs in goat farming dairy loom 6362 Healthcare 11 538 people and performed examined 4 797 students on their health department our Mother and planned enlisted 34 158 3 Good Health and Well being 2 81 323 Patients treated through splendid Infrastructure DevelopmentS D G 9 Industry Innovation and Infrastructure aided 73 959 Village sSD G 6 Clean Water and Sanitation SD G 7 Affordable and Clean Energy and SD G 8 Decent Work and Economic Growth Water Positiv it y and beyond is one of the most 6564 Case Studies Check Dam Pi plod a MC FT,13.15,2,2.0,2.0
411,Great Portland Estates PLC,Q5599804,0,False,nothing,25.41,1,1.0,1.0
412,Greencore Group PLC,Q5603798,0,True,We have maintained a good gender diversity mix our male to female percentage ratio is 6040 across nearly all levels of the business 4555 at Board level and 5743 at executive diverse and inclusive teams We ve seen a 10 increase in the number of colleagues that would recommend Green core as a place to information on our GRI disclosures for inclusion and diversity can be found he reView our quick read on inclusion and diversity here Our gender diversity level 5743 executive level at the with with Care,-97.5,0,0.0,0.0
413,Greif Inc,Q20486914,0,False,nothing,7.92,1,1.0,1.0
414,Grieg Seafood ASA,Q5608696,0,False,nothing,-0.2199999999999997,-1,-1.0,-1.0
415,Grifols SA,Q901262,0,False,nothing,-0.1157142857142857,-1,-1.0,-1.0
416,Gruma SAB de CV,Q545402,0,False,nothing,0.0,-1,-1.0,-1.0
417,Grupo Bimbo SAB de CV,Q775031,0,False,nothing,-7.199999999999999,-1,-1.0,-1.0
418,Grupo Televisa SAB,Q47099,0,False,nothing,140.78666666666666,1,1.0,1.0
419,GS Yuasa Corp,Q931156,0,False,nothing,12.86,1,1.0,1.0
420,Gudang Garam Tbk PT,Q1553005,0,False,nothing,-1.41,-1,-1.0,-1.0
421,Haier Smart Home Co Ltd,Q1143211,0,False,nothing,-2.6236363636363635,-1,-1.0,-1.0
422,Halliburton Co,Q656165,0,False,nothing,103.50571428571432,1,0.21052631578947367,1.0
423,Halma PLC,Q5643254,0,False,nothing,8.77,1,1.0,1.0
424,Hana Financial Group Inc,Q490601,0,False,nothing,-6.78,-1,-1.0,-1.0
425,Hanesbrands Inc,Q5647768,0,False,nothing,91.32,1,1.0,1.0
426,Hankook Tire & Technology Co Ltd,Q493094,0,False,nothing,-1.2600000000000002,-1,0.0,-0.5
427,Hapvida Participacoes e Investimentos SA,Q10293878,0,False,nothing,0.0,-1,-1.0,-1.0
428,HCA Healthcare Inc,Q1630431,0,False,nothing,-331.52,-1,-1.0,-1.0
429,HCL Technologies Ltd,Q5629103,0,True,Our in clu siv it y agenda covers gender equality accessibility for services and creating an ecosystem of shared values,71.18666666666667,2,2.0,2.0
430,HCL Technologies Ltd,Q5629103,0,True,This partnership furthers our commitment to support women on their paths to big arenas in boardrooms and the month in the US we are currently developing our LGBT Q inclusion framework to act as a proactive stand against the invisible but pertinent issues of margin aliz ation that the LGBT Q communities often face at the workplace,71.18666666666667,2,2.0,2.0
431,Healthpeak Properties Inc,Q16975567,0,False,nothing,0.0,-1,0.5,-0.5
432,HeidelbergCement AG,Q632233,0,False,nothing,-7.229999999999999,-1,-1.0,-1.0
433,HelloFresh SE,Q23014836,0,False,nothing,22.22,1,1.0,1.0
434,Helvetia Holding AG,Q933766,0,True,40 Sustainable procurement A wider range of skills perspectives and ways of thinking Strengthening collaboration and a sense of belonging among employees Promoting tolerance Increasing the proportion of female employees overall and in management positions Reducing the fluctuation rate Strengthening the company image New Equal opportunities campaign for the Swiss sales force Member of the Swiss gender equality network Advance Award for diversity and inclusion IT DIV RSI TY pilot project for blind applications AT Ongoing We Pay Fair certification from the University of CH The proportion of women in management positions remains at 19,0.0,0,0.0,0.0
435,Helvetia Holding AG,Q933766,0,True,Joining the gender equality network Advance in 2019 is also a measure by which we hope to actively increase the proportion of women in Switzerland particularly in management link Salary and equal opportunities A review of salaries by the Competence Centre for Diversity Inclusion at the University of in the year under review confirmed that Hel ve tia paid fair salaries in accordance with the principle of equal pay for equal work,0.0,0,0.0,0.0
436,Henderson Land Development Co Ltd,Q1604969,0,False,nothing,-2.4800000000000004,-1,-1.0,-1.0
437,Henkel AG & Co KGaA,Q276507,0,True,Gender Our goal is to continually increase the share of female rep resent ation at all levels of the organization,36.92000000000001,2,2.0,2.0
438,Henkel AG & Co KGaA,Q276507,0,True,And while we recognize that all of these individual attributes contribute to our diversity our strategic initiatives focus on the following core dimensions of diversity Gender Our goal is to continuously increase the ratio of women in the company at all levels and we have the ambition to achieve gender parity across all management levels by 2025,36.92000000000001,2,2.0,2.0
439,Henkel AG & Co KGaA,Q276507,0,True,Even outside our own company we are seeking to counteract the under representation of women in technical professions and driving forward gender diversity in the start up and technology sector,36.92000000000001,2,2.0,2.0
440,Hexcel Corp,Q5748967,0,False,nothing,0.2164705882352941,1,1.0,1.0
441,Hilton Worldwide Holdings Inc,Q1057464,0,True,Opportunity our veteran hiring inti at ive 2014 Pledged commitment to women through Womens Empowerment Principles Achieved 100 on the Human Rights Campaign Corporate Equality Index for the rst time Launched D arden Womens Leadership Development Program Pledged to Open Doors for One Million Young People by 2019 Recognized as Top 10 Company for Veterans by Diversity Inc 2015 Updated Global Employment policies to re ect best practices in diversity inclusion Partnered with U,160.74125000000004,2,2.0,2.0
442,HKT Trust & HKT Ltd,Q5895075,0,False,nothing,6.56,1,1.0,1.0
443,Hokuetsu Corp,Q11404108,0,False,nothing,0.0,-1,-1.0,-1.0
444,Holcim Ltd,Q267818,0,False,nothing,-29.965714285714284,-1,-1.0,-1.0
445,Holmen AB,Q1467848,0,False,nothing,0.0,-1,-1.0,-1.0
446,Hologic Inc,Q5884072,0,True,As seen on the next page this year our employees from around the world posted videos expressing their belief that healthy women a healthy pursuit of equality in womens health is fueled by our mission to enable healthier lives everywhere every day,1024.4266666666665,2,2.0,2.0
447,Hologic Inc,Q5884072,0,True,Immediately above group meeting in Zambia The Global Access Initiative firmly demonstrates our Purpose our Passion and our Promise to advance access to affordable care for people living in under served markets across the Mal ague ira Vice South C IS Middle East and Africa Lives Impacted By GAI thousands 1 2001 19 20 2020 Ho logic Sustainability Report 37 36 2020 Ho logic Sustainability Report Introduction The Globe Culture Society Governance Pursuing Healthcare Equality for Women As a global organization focused on improving womens health and well being through early detection and treatment Ho logic is to make a transformative impact on the long standing health disparities that plague women across the bridging gaps in access to preventive screenings to providing critical education monetary donations and legislative support efforts made by Ho logic and its employees over a span of nearly 15 years have made a profound difference for women in countless com muni ties,1024.4266666666665,2,2.0,2.0
448,Home Depot Inc,Q864407,0,False,nothing,-8.771764705882356,-1,-1.0,-1.0
449,HomeServe PLC,Q5890431,0,True,In recognition of these efforts Home Serve UK has become a signatory of the Race at Work charter has been voted Best Place to Work for Women 2020 achieved accreditation to become a Disability Confident Committed employer and is now ranked in the Stonewall Workplace Equality the last year we have made good progress in our journey towards gender equality where we have been working towards 33 female representation on a combined basis across the Board Executive Committee and their direct reports which is in line with the targets of the Hampton Alexander performance in the 2020 Hampton Alexander Report was as follows,13.175000000000002,2,2.0,2.0
450,HomeServe PLC,Q5890431,0,True,In common with many organisations we are starting this journey by focusing on a plan to drive gender diversity within our current senior leadership team and in the succession pipeline,13.175000000000002,2,2.0,2.0
451,Honda Motor Co Ltd,Q9584,0,False,nothing,157.8421052631579,1,1.0,1.0
452,Housing Development Finance Corp Ltd,Q1446319,0,False,nothing,2.028,1,1.0,1.0
453,Howmet Aerospace Inc,Q25104597,0,False,nothing,3.46,1,1.0,1.0
454,HP Inc,Q21404084,0,False,nothing,-9.0,-1,-1.0,-1.0
455,HSBC Holdings PLC,Q190464,0,True,We helped the 30 Club set up the Strategy Best Practices Working Group which is formed of representatives from large multinationals known for their leading work on gender equality,-22.74875,0,0.0,0.0
456,HSBC Holdings PLC,Q190464,0,True,Our Global Banking and Markets business has a team that incorporates a gender perspective into our mainstream products and business lines to generate business revenue from transactions that drive gender equality,-22.74875,0,0.0,0.0
457,HSBC Holdings PLC,Q190464,0,True,Additionally we have a number of senior global roles based in the are committed to improving our gender balance in the UK and beyond and are driving a three part plan which focuses on leadership action support for our employees and an open and inclusive review our pay practices regularly and also work with independent third parties to review equal pay the most recent exercise having been undertaken in 2018,-22.74875,0,0.0,0.0
458,HSBC Holdings PLC,Q190464,0,True,Here are some examples of our key achievements in 2020 Beyond gender Our global approach to diversity goes beyond gender to include ethnicity disability and LGBT inclusion Ethnicity In 2020 we launched our global ethnicity inclusion programme which is sponsored by Group Chief Risk O cer Pam Kaur and aims to diversify our workforce ethnicity p role see box on page 64,-22.74875,0,0.0,0.0
459,HSBC Holdings PLC,Q190464,0,True,Here are some of the examples of work that we delivered in 2019 Beyond gender We are expanding our focus beyond gender to approaches to ethnicity disability and LGBT inclusion,-22.74875,0,0.0,0.0
460,HUGO BOSS AG,Q491627,0,False,nothing,-4.983333333333333,-1,-1.0,-1.0
461,Huntsman Corp,Q851361,0,False,nothing,5.764999999999999,1,1.0,1.0
462,Hydro One Ltd,Q3143709,0,True,Key ES G policies programs and management systems guiding our actions include Diversity and inclusion policy The Catalyst Accord The Catalyst Accord is a global non prot organization dedicated to gender parity in the workplace,9.409999999999998,2,2.0,2.0
463,Hydro One Ltd,Q3143709,0,True,Achieved our Catalyst Accord commitments of gender diversity and launched a diversity and inclusion council for more information see Diversity and Inclusion,9.409999999999998,2,2.0,2.0
464,Hydro One Ltd,Q3143709,0,True,Performance While we maintained our Catalyst Accord commitments to gender parity in the workplace representation of women in executive and regular positions decreased slightly on average over the year,9.409999999999998,2,2.0,2.0
465,Hydro One Ltd,Q3143709,0,True,While we surpassed our Catalyst Accord commitments to achieve gender parity at the Board level we did not reach our goal of representation of women in executive positions,9.409999999999998,2,2.0,2.0
466,Hyundai Mobis Co Ltd,Q497534,0,False,nothing,-1.46,-1,0.3333333333333333,-0.5
467,Hyundai Motor Co,Q55931,0,False,nothing,18.971384615384626,1,0.3333333333333333,1.0
468,Iberdrola SA,Q1437502,0,False,nothing,-36.333333333333336,-1,-1.0,-1.0
469,ICICI Bank Ltd,Q1653258,0,True,At I CICI Bank we believe that empowerment of women is key to ensuring the holistic development of our nation and building a sustainable future,10.495454545454546,2,2.0,2.0
470,ICICI Bank Ltd,Q1653258,0,True,5 By 2030 eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable including persons with disabilities indigenous peoples and children in vulnerable situation sUN SD G Targets Relevant to Our Objective sUN SD G Targets Relevant to Our Objectives 106,10.495454545454546,2,2.0,2.0
471,ICICI Bank Ltd,Q1653258,0,True,Promoting women entrepreneurship Through the S BLP programme we promote women entrepreneurship in rural development and livelihood programmes of I CICI Foundation I CICI Foundation provides equal opportunities for women to up skill and enhance their employment opportunities by providing pro bono skill development programmes placement support and by encouraging women led entrepreneurial ventures,10.495454545454546,2,2.0,2.0
472,IDEX Corp,Q5970002,0,True,As part of our Equity Principles Campaign pledge we committed to working towards achieving gender equality in leadership roles throughout the company by 2030,156.81714285714287,2,2.0,2.0
473,IDEX Corp,Q5970002,0,True,Ensure our supplier relationships and community involvement also reflect these Commitments Actions What are we doing company wide Education Awareness I DEX Foundation Increase education and awareness with DEI training Calendar of events and celebrations Focus and investments to support under served minority communities Equity Supplier Diversity Program Signed Chicago Network Gender Equity Pledge Remove barriers to ensure everyone can do and be their best i,156.81714285714287,2,2.0,2.0
474,IDEXX Laboratories Inc,Q1758392,0,False,nothing,825.0899999999999,1,1.0,1.0
475,iHeartMedia Inc,Q477993,0,False,nothing,10.723583333333332,1,1.0,1.0
476,II-VI Inc,Q15109887,0,False,nothing,0.7142857142857143,1,1.0,1.0
477,Illinois Tool Works Inc,Q1510378,0,False,nothing,238.86000000000004,1,1.0,1.0
478,Illumina Inc,Q2068984,0,False,nothing,-16.461111111111123,-1,-1.0,-1.0
479,Imperial Brands PLC,Q1471161,0,False,nothing,-61.32000000000001,-1,0.5,-0.5
480,Industria de Diseno Textil SA,Q44504,0,False,nothing,-19.098,-1,-1.0,-1.0
481,Industrial & Commercial Bank of China Ltd,Q26463,0,False,nothing,-29.785714285714285,-1,-1.0,-1.0
482,Inficon Holding AG,Q1404191,0,False,nothing,0.0,-1,-1.0,-1.0
483,Infineon Technologies AG,Q311394,0,True,Employment of women and equal opportunity for women in taking on management an integral part of In fine on s diversity policy and participate in the United Nations CEO Water Mandate and on specific activities and programs on our from In fine on enable a more efficient production from renewable energy sources,26.42,2,2.0,2.0
